Number,Bin,Description,Vendor,VMRS Code,Type,On Hand Total,Alt Part Num,Inter VMRS,Major VMRS,Minor VMRS,Prev PO Facility,Tank Facility,Order Price,Last Order Date,Reorder Qty,Reorder Point,Manufacturer,Avg Ship Days
3J-34-42,C 06,"LINK, SADDLE ASSEMBLY",0000205791,083-000-000,SHOP SUPPLIES,11.0,3J-34-42,000,083,000,00003,,$0.000,8/8/2012,6.00,6,,0
3J-34-43,,"SCREW, WIPER BLADE- USE 3K-34-8",0000205791,000-000-000,CRITICAL PART,0.0,3J-34-43,000,000,000,00003,,$0.000,1/1/1900,1.00,1,,0
3J-34-44,,"VALVE ASSY, WINDSHIELD WIPER MOTOR",0000205791,000-000-009,Part,0.0,3J-34-44,000,000,009,,,$21.670,7/18/1990,0.00,0,,14
3J-34-46,,WIPER ARM,0000205791,000-000-000,CRITICAL PART,0.0,3J-34-46,000,000,000,,,$4.510,1/1/1900,0.00,0,,15
3J-34-48,,"WIPER, BLADE, REFILL",0000205791,000-000-000,Part,0.0,53-26,000,000,000,,,$11.380,1/1/1900,2.00,2,,0
3J-34-5,F  END,"WIPER BLADE, MCI",0000205791,000-000-000,Part,11.0,3J-34-5,000,000,000,00003,,$32.530,1/16/2013,4.00,2,,0
3J-34-51,,"WIPER MOTOR, LH",0000205791,000-000-000,Part,0.0,3J-34-51,000,000,000,,,$288.890,1/1/1900,1.00,1,,0
3J-34-52,C 06,"MOTOR, WIPER RH ASMY",0000205791,000-000-000,Part,1.0,3J-34-52,000,000,000,00003,,$389.580,1/1/1900,1.00,1,,0
3J-34-53,,"VALVE, CONTROL",0000205791,000-000-000,CRITICAL PART,0.0,3J-34-53,000,000,000,00003,,$33.030,1/1/1900,1.00,1,,0
3J-34-83,C 06,"NOZZLE, WIPER BODY MOUNT",0000205791,000-000-000,SHOP SUPPLIES,6.0,3J-34-83,000,000,000,00003,,$0.000,8/8/2012,6.00,6,,0
3J-35-100,,"PANEL, RR, WHEEL HOUSING, 96A",0000205791,000-000-000,CRITICAL PART,0.0,3J-35-100,000,000,000,,,$53.390,1/1/1900,1.00,1,,0
3J-35-103,SP/ORDER,"PANEL, FRONT RR 96A3",0000205791,000-000-000,Part,0.0,3J-35-103,000,000,000,,,$54.200,1/1/1900,1.00,1,,0
3J-35-287,,"BEZEL, HEADLIGHT, LH",0000205791,000-000-000,CRITICAL PART,0.0,3J-35-49,000,000,000,00003,,$62.470,1/1/1900,0.00,0,,0
3J-35-289,,"BEZEL, HEADLIGHT, RH",0000205791,000-000-000,CRITICAL PART,0.0,3J-35-289,000,000,000,00003,,$62.470,1/1/1900,0.00,0,,0
